expand,self,id,key,name,avatarUrls,projectCategory,projectTypeKey,simplified,style,isPrivate,properties
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10127,10127,FLFLOWHYB,Flutter flow/2023-KWT-HYB-2039,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10414', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10414?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10414?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10414?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10000', 'id': '10000', 'name': 'Team Based', 'description': 'For all ODC projects'}",software,False,classic,False,{}
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10274,10274,ETCHYB,Foode/2024-ETC-HYB-2160,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10412', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10412?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10412?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10412?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10001', 'id': '10001', 'name': 'Fixed Cost', 'description': 'For all fixed cost projects'}",software,False,classic,False,{}
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10097,10097,FRFHYB,Fortify/ 2022-FRF-HYB-2011,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10406', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10406?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10406?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10406?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10001', 'id': '10001', 'name': 'Fixed Cost', 'description': 'For all fixed cost projects'}",software,False,classic,False,{}
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10098,10098,FRFADM,Fortify/2022-FRF-ADM-2012,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10403', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10403?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10403?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10403?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10001', 'id': '10001', 'name': 'Fixed Cost', 'description': 'For all fixed cost projects'}",software,False,classic,False,{}
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10045,10045,GSFGMF,Gender Settings for Groups and Main Feed/2022-TPF-1958,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10413', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10413?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10413?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10413?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10001', 'id': '10001', 'name': 'Fixed Cost', 'description': 'For all fixed cost projects'}",software,False,classic,False,{}
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10100,10100,GDAWEB,Gondola/2022-GDA-WEB-2014,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10407', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10407?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10407?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10407?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10000', 'id': '10000', 'name': 'Team Based', 'description': 'For all ODC projects'}",software,False,classic,False,{}
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10137,10137,GFOWEB,Greenfield Opus/2023-GFO-WEB-2047,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10404', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10404?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10404?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10404?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10000', 'id': '10000', 'name': 'Team Based', 'description': 'For all ODC projects'}",software,False,classic,False,{}
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10146,10146,LHGWEB,Groupbook / 2023-LHG-WEB-2049,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10417', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10417?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10417?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10417?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10000', 'id': '10000', 'name': 'Team Based', 'description': 'For all ODC projects'}",software,False,classic,False,{}
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10160,10160,GWMADM,GrowMe/2023-GWM-ADM-2073,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10421', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10421?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10421?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10421?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10001', 'id': '10001', 'name': 'Fixed Cost', 'description': 'For all fixed cost projects'}",software,False,classic,False,{}
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10158,10158,GWMBCK,GrowMe/2023-GWM-BCK-2071,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10401', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10401?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10401?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10401?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10001', 'id': '10001', 'name': 'Fixed Cost', 'description': 'For all fixed cost projects'}",software,False,classic,False,{}
